read_id,ref_id,read_direction,read_number,len_ref,len_ref_aligned,len_read,len_read_windowed,len_read_aligned,distance_aligned,similarity_aligned,category
Read000000400,482,1,1,108,108,150,107,107,1,0.9907407407407407,mapped_high
Read000000401,482,1,1,108,108,150,106,106,2,0.9814814814814815,mapped_high
Read000000402,482,1,1,108,108,150,106,106,2,0.9814814814814815,mapped_high
Read000000403,482,1,1,108,108,150,106,106,2,0.9814814814814815,mapped_high
Read000000404,482,1,1,108,108,150,106,106,3,0.9722222222222222,mapped_high
Read000000405,482,1,1,108,108,150,106,106,3,0.9722222222222222,mapped_high
Read000000406,482,1,1,108,108,150,106,106,3,0.9722222222222222,mapped_high
Read000000407,485,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000408,485,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000409,485,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000410,487,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000411,487,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000412,487,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000413,487,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000414,487,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000415,487,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000416,487,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000417,487,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000418,487,1,1,108,108,150,108,108,1,0.9907407407407407,mapped_high
Read000000419,487,1,1,108,108,150,106,106,2,0.9814814814814815,mapped_high
Read000000420,487,1,1,108,108,150,106,106,2,0.9814814814814815,mapped_high
Read000000421,487,1,1,108,108,150,106,106,2,0.9814814814814815,mapped_high
Read000000422,487,1,1,108,108,150,106,106,2,0.9814814814814815,mapped_high
Read000000423,487,1,1,108,108,150,106,106,2,0.9814814814814815,mapped_high
Read000000424,487,1,1,108,108,150,105,105,3,0.9722222222222222,mapped_high
Read000000425,487,1,1,108,108,150,105,105,3,0.9722222222222222,mapped_high
Read000000426,487,1,1,108,108,150,105,105,4,0.962962962962963,mapped_high
Read000000427,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000428,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000429,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000430,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000431,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000432,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000433,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000434,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000435,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000436,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000437,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000438,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000439,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000440,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000441,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000442,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000443,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000444,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000445,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000446,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000447,490,1,1,108,108,150,108,108,0,1.0,mapped_high
Read000000448,490,1,1,108,108,150,108,108,0,1.0,mapped_high
