read_id,ref_id,read_direction,read_number,len_ref,len_ref_aligned,len_read,len_read_windowed,len_read_aligned,distance_aligned,similarity_aligned,category
read232,732,1,1,108,108,108,108,108,0,1.0,mapped_high
read233,733,1,1,108,108,108,108,108,0,1.0,mapped_high
read234,734,1,1,108,108,108,108,108,0,1.0,mapped_high
read235,735,1,1,108,108,108,108,108,0,1.0,mapped_high
read236,736,1,1,108,108,108,108,108,0,1.0,mapped_high
read237,738,1,1,108,108,108,108,108,0,1.0,mapped_high
read238,739,1,1,108,108,108,108,108,0,1.0,mapped_high
read239,740,1,1,108,108,108,108,108,1,0.9907407407407407,mapped_high
read240,741,1,1,108,108,108,108,108,0,1.0,mapped_high
read241,743,1,1,108,108,108,108,108,0,1.0,mapped_high
read242,745,1,1,108,108,108,108,108,0,1.0,mapped_high
read243,746,1,1,108,108,107,107,107,1,0.9907407407407407,mapped_high
read244,747,1,1,108,108,108,108,108,0,1.0,mapped_high
read245,748,1,1,108,108,108,108,108,0,1.0,mapped_high
read246,749,1,1,108,108,108,108,108,0,1.0,mapped_high
read247,750,1,1,108,108,108,108,108,0,1.0,mapped_high
read248,751,1,1,108,108,108,108,108,0,1.0,mapped_high
read249,752,1,1,108,108,108,108,108,0,1.0,mapped_high
read250,753,1,1,108,108,107,107,107,2,0.9814814814814815,mapped_high
read251,755,1,1,108,108,108,108,108,0,1.0,mapped_high
read252,756,1,1,108,108,108,108,108,0,1.0,mapped_high
read253,757,1,1,108,108,108,108,108,0,1.0,mapped_high
read254,758,1,1,108,108,108,108,108,0,1.0,mapped_high
read255,759,1,1,108,108,108,108,108,0,1.0,mapped_high
read256,760,1,1,108,108,108,108,108,0,1.0,mapped_high
read257,761,1,1,108,108,108,108,108,0,1.0,mapped_high
read258,762,1,1,108,108,108,108,108,0,1.0,mapped_high
read259,763,1,1,108,108,108,108,108,0,1.0,mapped_high
read260,765,1,1,108,108,108,108,108,0,1.0,mapped_high
read261,767,1,1,108,108,108,108,108,0,1.0,mapped_high
read262,768,1,1,108,108,108,108,108,0,1.0,mapped_high
read263,769,1,1,108,108,108,108,108,0,1.0,mapped_high
read264,770,1,1,108,108,108,108,108,1,0.9907407407407407,mapped_high
read265,771,1,1,108,108,108,108,108,0,1.0,mapped_high
read266,772,1,1,108,108,108,108,108,0,1.0,mapped_high
read267,773,1,1,108,108,108,108,108,1,0.9907407407407407,mapped_high
read268,774,1,1,108,108,108,108,108,0,1.0,mapped_high
read269,775,1,1,108,108,108,108,108,0,1.0,mapped_high
read270,776,1,1,108,108,108,108,108,0,1.0,mapped_high
read271,777,1,1,108,108,108,108,108,0,1.0,mapped_high
read272,778,1,1,108,108,108,108,108,0,1.0,mapped_high
read273,779,1,1,108,108,108,108,108,0,1.0,mapped_high
read274,781,1,1,108,108,108,108,108,0,1.0,mapped_high
read275,782,1,1,108,108,108,108,108,0,1.0,mapped_high
read276,783,1,1,108,108,108,108,108,0,1.0,mapped_high
read277,784,1,1,108,108,108,108,108,0,1.0,mapped_high
read278,785,1,1,108,108,108,108,108,0,1.0,mapped_high
read279,786,1,1,108,108,108,108,108,0,1.0,mapped_high
read280,787,1,1,108,108,108,108,108,0,1.0,mapped_high
read281,788,1,1,108,108,108,108,108,0,1.0,mapped_high
read282,789,1,1,108,108,108,108,108,0,1.0,mapped_high
read283,790,1,1,108,108,108,108,108,0,1.0,mapped_high
read284,791,1,1,108,108,108,108,108,0,1.0,mapped_high
read285,792,1,1,108,108,108,108,108,0,1.0,mapped_high
read286,793,1,1,108,108,108,108,108,0,1.0,mapped_high
read287,794,1,1,108,108,108,108,108,0,1.0,mapped_high
read288,795,1,1,108,108,108,108,108,0,1.0,mapped_high
read289,797,1,1,108,108,108,108,108,0,1.0,mapped_high
read290,798,1,1,108,108,108,108,108,0,1.0,mapped_high
read291,799,1,1,108,108,108,108,108,0,1.0,mapped_high
read292,800,1,1,108,108,108,108,108,0,1.0,mapped_high
read293,802,1,1,108,108,108,108,108,0,1.0,mapped_high
read294,803,1,1,108,108,107,107,107,1,0.9907407407407407,mapped_high
read295,804,1,1,108,108,108,108,108,0,1.0,mapped_high
read296,805,1,1,108,108,108,108,108,0,1.0,mapped_high
read297,807,1,1,108,108,108,108,108,1,0.9907407407407407,mapped_high
read298,808,1,1,108,108,108,108,108,0,1.0,mapped_high
read299,809,1,1,108,108,108,108,108,0,1.0,mapped_high
read300,810,1,1,108,108,108,108,108,0,1.0,mapped_high
read301,811,1,1,108,108,108,108,108,0,1.0,mapped_high
read302,812,1,1,108,108,108,108,108,0,1.0,mapped_high
read303,813,1,1,108,108,108,108,108,0,1.0,mapped_high
read304,814,1,1,108,108,108,108,108,0,1.0,mapped_high
read305,815,1,1,108,108,108,108,108,0,1.0,mapped_high
read306,816,1,1,108,108,108,108,108,0,1.0,mapped_high
read307,818,1,1,108,108,108,108,108,0,1.0,mapped_high
read308,820,1,1,108,108,103,103,103,5,0.9537037037037037,mapped_high
read309,821,1,1,108,108,108,108,108,0,1.0,mapped_high
read310,822,1,1,108,108,108,108,108,0,1.0,mapped_high
read311,823,1,1,108,108,108,108,108,0,1.0,mapped_high
read312,826,1,1,108,108,108,108,108,0,1.0,mapped_high
read313,829,1,1,108,108,108,108,108,0,1.0,mapped_high
read314,830,1,1,108,108,108,108,108,0,1.0,mapped_high
read315,832,1,1,108,108,108,108,108,0,1.0,mapped_high
read316,833,1,1,108,108,108,108,108,0,1.0,mapped_high
read317,834,1,1,108,108,108,108,108,0,1.0,mapped_high
read318,835,1,1,108,108,108,108,108,0,1.0,mapped_high
read319,836,1,1,108,108,108,108,108,0,1.0,mapped_high
read320,837,1,1,108,108,108,108,108,1,0.9907407407407407,mapped_high
read321,838,1,1,108,108,108,108,108,0,1.0,mapped_high
read322,839,1,1,108,108,108,108,108,0,1.0,mapped_high
read323,841,1,1,108,108,108,108,108,0,1.0,mapped_high
read324,842,1,1,108,108,108,108,108,0,1.0,mapped_high
read325,843,1,1,108,108,108,108,108,0,1.0,mapped_high
read326,845,1,1,108,108,108,108,108,0,1.0,mapped_high
read327,847,1,1,108,108,108,108,108,0,1.0,mapped_high
